model,final_loss,mse_12,mse_13
Constant,0.9623159170150757,91496.078125,45.69655227661133
Linear,0.8513681292533875,91450.5234375,46.40818405151367
NN,-0.5850363373756409,24498.330078125,4.572546005249023
