model,final_loss,mse_12,mse_13
Constant,1415.770246584911,0.0936835507067332,0.09012347623396684
Linear,1361.5751623893282,0.07933857799138627,0.07786555740711087
NN,1342.7405584800647,0.07462567633570902,0.07339392325849986
