time_const,time_lin,time_NN,loss_const,loss_lin,loss_NN,loss_const_val,loss_lin_val,loss_NN_val,BS_const,BS_lin,BS_NN,MSE11_const_val,MSE12_const_val,MSE13_const_val,MSE11_lin_val,MSE12_lin_val,MSE13_lin_val,MSE11_NN_val,MSE12_NN_val,MSE13_NN_val
23.42,23.61,42.879999999999995,4259.42097443873,4080.5189083360597,4005.693814661527,1328.8711819737773,1284.662703696609,1264.6752235974452,0.784614414299045,0.7284746646348139,0.696044659188472,0.18601190935922854,0.0825181114607056,0.1067506058417337,0.1604547582283597,0.0663339276998154,0.09649261811968649,0.1501978057197143,0.05696017387625731,0.09385293788224924
22.46,22.3,36.61,4157.2487671466915,4006.0067014412657,3938.5520505301433,1462.1068996746314,1404.7668094436883,1381.3672797278005,0.7144689504190519,0.6653423098124186,0.6461432026836863,0.159830304489605,0.08363603688937679,0.07818091680511355,0.12749516972703417,0.0679930300903766,0.06179449281777028,0.1224892903444182,0.06335600309072587,0.0598095110260932
21.86,21.85,36.14,4265.859318434759,4068.6560931708295,4014.324211432869,1390.4429038352419,1334.013852476457,1318.3388285832762,0.7799852068293374,0.6899259968500548,0.6645738263332923,0.20208599324319262,0.10283216600171978,0.10028394618884748,0.1702858026554285,0.08630648533239454,0.08472923822910038,0.16471049947849006,0.08286197172013435,0.08200184835903931
21.91,21.92,35.76,4090.7447328610674,3937.7955840723075,3886.122146645562,1433.6375332933108,1366.213682696218,1344.209426270023,0.7354610322396656,0.6654190790164916,0.6451202395521778,0.17433835680492293,0.09283808303696274,0.0828350566379719,0.14394576100576612,0.07853732217891403,0.06729899717272898,0.1396254318176384,0.07462765500616404,0.065514047425759
22.15,22.18,35.9,4167.717596842958,4004.683827916193,3950.5348537993636,1381.956470234655,1326.7356645853426,1317.0578859407572,0.7444616785865193,0.6844724678846057,0.6560019345205435,0.17231797941780375,0.0901425185114444,0.08345849213848547,0.1484107801081198,0.07698569816264181,0.07307897953361085,0.13784953786464335,0.0719050930620386,0.06623310977166047
21.94,22.01,36.0,4234.071014519074,4095.651828240141,4051.5299088827414,1422.3195441517162,1368.4507348269779,1349.3385310059207,0.768641377210272,0.7036310523033088,0.6803282299618321,0.186793344275346,0.09383679078871172,0.093826956258749,0.16034372791001186,0.07977984915209103,0.08152246146193019,0.1549952432698074,0.07665716339316668,0.07864138870421475
21.95,22.14,36.17,4312.861932697622,4118.308313888171,4064.6731982696992,1472.6073845317928,1428.6378625899674,1407.2155853436373,0.7330085776787796,0.6794365231003777,0.6487716396382243,0.17061670037269147,0.09757996757579267,0.07590390852052198,0.14459479956969537,0.08658017977854618,0.060523596734214744,0.13365295983030395,0.08199369303844482,0.052008622004062526
22.12,21.83,35.69,4298.700411624164,4138.677168049894,4076.401192368794,1438.7195150719604,1369.1100390874797,1345.001884690001,0.7591411151212334,0.6825127272499708,0.6626346061286134,0.1929226098763999,0.08988262301327535,0.10544808448636836,0.16088588153034422,0.07054313801405566,0.09215913526205237,0.15555586100796756,0.06466498887431728,0.09135342755974893
21.94,21.75,36.76,4287.217327271675,4124.281348218905,4061.794426398032,1477.161145557235,1415.3363077507413,1399.7857899091457,0.798831740991896,0.7298338674174625,0.7076555983731306,0.19505694457307848,0.101196797879726,0.0946422448315208,0.1740947361916291,0.0899698739521236,0.08510587097015095,0.16756196592768316,0.08643625441768543,0.08138017683140347
21.86,21.94,36.37,4082.819799478599,3951.96918303197,3919.5264145088113,1418.180889138113,1352.0071294525806,1335.0949542835824,0.7528646297461349,0.6860935281512157,0.6704305939183345,0.19195966446391938,0.0970275351826356,0.09642879815164916,0.16976830929249306,0.08349582249087356,0.08754673188728,0.16629587104587296,0.08106923335665808,0.08561638925328724
